year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
2018,3,0,25.25,10.97
2018,4,0,25.54,9.26
2018,5,0,24.48,10.55
2018,6,0,22.76,12.48
2018,7,0,24.65,9.6
2018,8,16.89,19.29,14.57
2018,9,24.8,16.19,10.76
2018,10,0,17.55,8.17
2018,11,0,22.88,7.23
2018,12,0,25.36,9.44
2018,13,0,28.92,11.56
2018,14,0,28.72,11.95
2018,15,0,25.01,9.4
2018,16,0,22.71,9.88
2018,17,0,27.52,9.92
2018,18,0,26.85,10.03
2018,19,1.42,19.01,9.52
2018,20,0,17.02,6.1
2018,21,0,18.04,2.75
2018,22,0,21.37,3.95
2018,23,0,25.01,5.9
2018,24,0,25.25,6.18
2018,25,0,17.38,4.54
2018,26,0,21.32,5.08
2018,27,0,23.94,5.44
2018,28,0,29.42,16.19
2018,29,0,30.43,14.56
2018,30,0,28.07,12.35
2018,31,0,28.23,10.48
2018,32,0,28.64,10.46
2018,33,0,30.57,11.31
2018,34,0,29.74,10.92
2018,35,0,30.37,10.72
2018,36,0,27.54,10.56
2018,37,0,27.19,9.49
2018,38,0,29.47,10.53
2018,39,0,30.63,10.54
2018,40,0,27.15,9.55
2018,41,0,18.8,10.51
2018,42,0,23.95,8.24
2018,43,1.19,18.21,9.86
2018,44,0,19.97,6.51
2018,45,0,20.8,10.17
2018,46,0,23.88,9.85
2018,47,0,25.49,9.17
2018,48,0,25.46,7.28
2018,49,0,21.31,7.4
2018,50,0,15.3,5.35
2018,51,0,16.17,0.36
2018,52,0,15.54,4.01
2018,53,0,16.44,3.34
2018,54,0,15.87,5.02
2018,55,0,17.7,1.55
2018,56,0,21.52,2.41
2018,57,9.91,20.25,4.27
2018,58,9.65,13.59,5
2018,59,0,17.02,2.62
2018,60,0,17.9,5.37
2018,61,2.11,15.98,7.88
2018,62,2.17,16.11,8.6
2018,63,0,17.9,4.8
2018,64,0,23.47,5.39
2018,65,0,27.1,8.39
2018,66,0,23.5,8.69
2018,67,0,25.17,9.34
2018,68,0,23.33,9.58
2018,69,14.02,16.66,12.41
2018,70,0,21.62,13.09
2018,71,0,24.53,12.69
2018,72,1.39,22.91,13.32
2018,73,5.27,18.5,11.81
2018,74,0,18.31,9.86
2018,75,2.63,17.11,7.63
2018,76,0.5,17.09,8.4
2018,77,0,18.55,6.01
2018,78,0,24.52,7.29
2018,79,0,25.02,10.45
2018,80,0,21.95,11.19
2018,81,8.58,18.81,13.67
2018,82,0,21.74,11.87
2018,83,0,19.29,10.34
2018,84,0,18.53,8.32
2018,85,0,21.47,6.53
2018,86,0,24.91,7.2
2018,87,0,26.71,8.44
2018,88,0,27.96,10.05
2018,89,0,31,11.18
2018,90,0,28.13,11.55
2018,91,0,24.4,11.55
2018,92,0,20.74,12.08
2018,93,0,24.67,12.84
2018,94,0,24.1,10.67
2018,95,0,23.94,11.64
2018,96,0,24.05,11.48
2018,97,0,25.56,13.08
2018,98,0,27.45,14.28
2018,99,0,36.49,12.7
2018,100,0,34.83,14.85
2018,101,0,29.57,12.94
2018,102,0,23.5,11.31
2018,103,0,28.52,9.81
2018,104,0,31.5,11.19
2018,105,0,28.5,10.91
2018,106,0,20.88,9.54
2018,107,0,24.43,6.34
2018,108,0,25.39,8.51
2018,109,0,18.2,9.07
2018,110,0,26.61,8.02
2018,111,0,32.53,9.96
2018,112,0,31.61,13.08
2018,113,0,30.12,12.42
2018,114,0,28.45,11.14
2018,115,0,27.36,10.89
2018,116,0,26.42,11.08
2018,117,0,24.79,11.71
2018,118,0,24.09,10.43
2018,119,0,22.34,12.14
2018,120,0,19.77,13.18
2018,121,2.34,14.79,11.45
2018,122,0,17.75,10.47
2018,123,0,26.39,10.17
2018,124,0,34.64,12.27
2018,125,0,36.04,14.94
2018,126,0,33.34,14.85
2018,127,0,30.75,12.58
2018,128,0,29.95,13.5
2018,129,0,30.49,13.35
2018,130,0,28.43,13.88
2018,131,0,19.91,14.29
2018,132,0,19.35,12.98
2018,133,0,22.52,13.18
2018,134,0,24.28,11.09
2018,135,0,24.89,11.26
2018,136,0,26.21,10.92
2018,137,0,24.71,11.47
2018,138,0,23.62,14.18
2018,139,0,22.52,14.06
2018,140,0,22.57,15.42
2018,141,0,19.74,14.48
2018,142,0,21.79,13.44
2018,143,0,23.49,13.56
2018,144,0,22.06,14.55
2018,145,0,23.18,13.43
2018,146,0,21.31,12.52
2018,147,0,26.15,12.29
2018,148,0,29.43,12.5
2018,149,0,28.71,14.42
2018,150,0,24.3,15.53
2018,151,0,25.03,14.29
2018,152,0,28.23,12.23
2018,153,0,31.09,13.97
2018,154,0,33.24,14.35
2018,155,0,31.19,14.19
2018,156,0,26.83,15.72
2018,157,0,28.21,15.64
2018,158,0,29.57,13.88
2018,159,0,33.35,13.79
2018,160,0,31.53,15.57
2018,161,0,31.62,15.72
2018,162,0,33.28,16.09
2018,163,0,34.08,16.64
2018,164,0,34.61,16.27
2018,165,0,35.81,15.68
2018,166,0,33.07,16.39
2018,167,0,25.26,15.98
2018,168,0,23.65,15.71
2018,169,0,26.73,14.45
2018,170,0,29.81,13.3
2018,171,0,32.01,14.6
2018,172,0,32.18,15.06
2018,173,0,33.92,16.42
2018,174,0,28.23,15.82
2018,175,0,29.65,15.39
2018,176,0,31.63,14.25
2018,177,0,32.94,14.3
2018,178,0,32.22,15.34
2018,179,0,31.12,15.21
2018,180,0,29.04,15.3
2018,181,0,29.63,16.14
2018,182,0,31.07,15.43
2018,183,0,31.03,16.23
2018,184,0,30.06,16.79
2018,185,0,33.7,15.07
2018,186,0,38.4,15.91
2018,187,0,47.32,21.64
2018,188,0,44.53,25.26
2018,189,0,40.39,23.34
2018,190,0,38.63,23.04
2018,191,0,36.2,23.18
2018,192,0,36.87,21.29
2018,193,0,36.21,21.57
2018,194,0,36.32,20.58
2018,195,0,36.08,20.23
